Messages,Number_of_replies,message,num_reply,Message
Catch us at lake merritt,22,NA,NA,NA
Russia hired 1000 people to create anti-Clinton fake news in key us states during elections according to the trump Russia hearings,3,NA,NA,NA
Guava and mango juice are the best. That's why I shop at Asian and Mexican grocery stores because they don't have it at regular ones.,8,NA,NA,NA
Is tacoflavoredkisses on vacation? I miss her,6,NA,NA,NA
"My friend just passed away from a car accident. He just turned 21 two weeks ago. Guys, for fucks sake, please drive safe. Losing a friend fucking sucks.",8,NA,NA,NA
It seems with NJ gone piu is the new queen of the cucks.,41,NA,NA,NA
The end of Planned Parenthood is near,2,NA,NA,NA
"I promised a tinder chick I'd tie her ankles to her wrists while I have my way with her, but don't have rope and only thing I can tie are my shoes. Pointers?",25,NA,NA,NA
Mario kart or Super smash?,18,NA,NA,NA
Praise be to God,0,NA,NA,NA
Everyone looks so grown up in the city,0,NA,NA,NA
Funny how life works. All u gotta do is be a good bullshitter and ull get whatever you want,15,NA,NA,NA
"When you study super hard for an exam, feel confident about it, and still fail. Gotta love school...",5,NA,NA,NA
There was a puppy drowning in the lake so I had to save him he tried to bite me so I pulled him out by his tail and saved him. It happened the day before yesterday. Just thought I'd share.,9,NA,NA,NA
sea slugs' penises break off after sex--then grow back,4,NA,NA,NA
Why do people wear underwear? Like what was the purpose?!,9,NA,NA,NA
Holy fuck it's Thursday already spring break is over,5,NA,NA,NA
Who's going to the Fight the Fish potluck?,0,NA,NA,NA
I am kwanzaa,1,NA,NA,NA
I'm just now learning the club penguin was shut down. FUCK my day is ruined,7,NA,NA,NA
What do you imagine the typical yakker to be? I asked someone and he described a hot girl. Hope springs eternal.,44,NA,NA,NA
Eating Chinese food makes me feel like a fatass,1,NA,NA,NA
"For my bd my gf sent me one hell of an explicit pic of her. Let's just say, the need to jerk off has never cummed that fast before",11,NA,NA,NA
Bought a box of Kleenex this morning. Finished it two hours ago. Now I'm blowing my nose on graph paper. Part of it's from being sick and part of its from crying from the pain.,5,NA,NA,NA
East bay traffic >>>>>,0,NA,NA,NA
Youll find Im full of surprises!,15,NA,NA,NA
"People really shouldn't let their dogs wander around without collars, people are gonna assume they're lost or strays",7,NA,NA,NA
"kind want the movie ""get out""experience, but first I need to find a white girlfriend.",2,NA,NA,NA
YY won't let me post a provocative photo but I discovered the strangest thing you guys,31,NA,NA,NA
I CANNOT STAND CLINGY,3,NA,NA,NA
It's sad that the most common way to have sex with a female is to be a fuckboi.,3,NA,NA,NA
If I could be surrounded by animals that'd be great :D,8,NA,NA,NA
Who wants to smoke and chill just message me I'm on Hyde st!,9,NA,NA,NA
"I renewed my ULI membership, paid for vehicle registration, submitted my new address to the DMV and bought food that isn't either pizza or coffee. #adulting",17,NA,NA,NA
I am obsessed with guys and dick.,17,NA,NA,NA
C on both sides like Chanel,6,NA,NA,NA
Tbh I'm going to miss barren quiet berk,0,NA,NA,NA
Home and ouch!,14,NA,NA,NA
3pm in a thursday...bar just opened. Time for a pint,1,NA,NA,NA
I can hardly cum from sex anymore. At first im super sensitive and have to go slow or else ill cum immediately. But after i break that barrier i basically cant cum and start to go soft even. Fml,11,NA,NA,NA
Have the best sleep I've had in a while last night. I feel fucking amazing.,1,NA,NA,NA
When your pubic hair on fleek.,4,NA,NA,NA
I keep checking my ass if it's getting perkier after EVERY work outs,16,NA,NA,NA
Sometimes I consider throwing a fake wedding and going through the motions so my parents can experience it while there's still time for them,6,NA,NA,NA
Hello San Francisco I will be in you for the next three days,9,NA,NA,NA
I come in peace. I only want your memes.,2,NA,NA,NA
Just farted in the gym. Didn't think anything about it until a guy ran past and spread the smell all through the gym... horrific,2,NA,NA,NA
SCUBA STEEVE,3,NA,NA,NA
In memory of BOB,2,NA,NA,NA
The reason why I don't tell my parents about my love life (basic stuff) is because they get all nosy and interfere our life.,1,NA,NA,NA
"My date just said, ""You look tired, that's cause it turned out i'm not physically attracted to you and you're starting to annoy me""",1,NA,NA,NA
Not feeling today's windy ass weather,1,NA,NA,NA
Green Hornet representing CSUS in the house.,8,NA,NA,NA
I'm the pussy tamer,6,NA,NA,NA
Wherr to get rope and blindfolds,5,NA,NA,NA
Who wants to smoke in berkeley tonight,8,NA,NA,NA
What's the move tonight,1,NA,NA,NA
"I asked a guy out and he replied that it is against his work policy to hang out outside of work with clients (that would be me), but now we still have to see each other every couple weeks until may",2,NA,NA,NA
Missing my boyfriend like crazy,0,NA,NA,NA
Arent you a little short for a Stormtrooper?,17,NA,NA,NA
Sometimes I forget when my period is supposed to come. I don't know if it's last week of month or beginning of the month. I'm having the symptoms now,5,NA,NA,NA
Can anybody drive me to in n out,7,NA,NA,NA
Are bose noise cancelling headphones any good? Got some as a gift,16,NA,NA,NA
"Is it illegal to require students who turn in their work the latest but still within the deadline to write more? I mean, just change the damn deadline instead of punishing people when they're on time",8,NA,NA,NA
Why aren't Indians considered black? I see a lot that super black,12,NA,NA,NA
Caption this,12,NA,NA,NA
"Some guys can't pull off flip flops, i'm sorry",0,NA,NA,NA
I love using girls with coke problems,2,NA,NA,NA
The 51b had a happy holidays thing up is there a holiday going on?,0,NA,NA,NA
Where the bud at,2,NA,NA,NA
Its been a month and i wake up still thinking of her wishing she was next to me.,1,NA,NA,NA
Screw today,0,NA,NA,NA
Can someone recommend any spots open on campus good for late night studying?,0,NA,NA,NA
Why are most construction and housekeeping workers Mexicans? I think it's better than food service and retail jobs tbh. They work on their own pace and by themselves without having to deal w customers,8,NA,NA,NA
kill me now I haven't had coffee in a week,3,NA,NA,NA
Best smoke spots around pleasant Hill/lafayette?,2,NA,NA,NA
Topped for the first time this spring break,3,NA,NA,NA
Lorina if you see this I just wanna say that I think you're hella cute,16,NA,NA,NA
Who wants to hangout in downtown berkeley,1,NA,NA,NA
"Can't get a photo to post  ANYWAYS I was trying to have nice afternoon fap so I was browsing through the categories on PornHub and came across ""Panda Style"" and I wanted to share it with you all.",7,NA,NA,NA
When you tell dudes you only vape and they're like good cause smoking cigarettes is bad for you  . Like has no one heard of thc cartridges?!,4,NA,NA,NA
anyone know where i can get shrooms?,1,NA,NA,NA
Good evening from Texas.,11,NA,NA,NA
"Am I the only one who thinks the gorilla Instagram posts being a giant deal to the point of expelling them is kind of dumb? I mean who cares, they're just Instagram posts. This isn't an ""incident"".",10,NA,NA,NA
Can a guy and girl go to dinner and remain just friends,11,NA,NA,NA
The reason why I don't tell my parents about my love life (basic stuff) is because they get all nosy and interfere our life.,1,NA,NA,NA
Green Hornet representing CSUS in the house.,8,NA,NA,NA
"My date just said, ""You look tired, that's cause it turned out i'm not physically attracted to you and you're starting to annoy me""",1,NA,NA,NA
"My friend just passed away from a car accident. He just turned 21 two weeks ago. Guys, for fucks sake, please drive safe. Losing a friend fucking sucks.",8,NA,NA,NA
In memory of BOB,2,NA,NA,NA
Who wants to hangout in downtown berkeley,1,NA,NA,NA
Everyday things bore me,3,NA,NA,NA
What's the move tonight,1,NA,NA,NA
"Some guys can't pull off flip flops, i'm sorry",0,NA,NA,NA
Missing my boyfriend like crazy,0,NA,NA,NA
Hello San Francisco I will be in you for the next three days,9,NA,NA,NA
Where the bud at,2,NA,NA,NA
Screw today,0,NA,NA,NA
"I asked a guy out and he replied that it is against his work policy to hang out outside of work with clients (that would be me), but now we still have to see each other every couple weeks until may",2,NA,NA,NA
When you tell dudes you only vape and they're like good cause smoking cigarettes is bad for you  . Like has no one heard of thc cartridges?!,4,NA,NA,NA
I come in peace. I only want your memes.,2,NA,NA,NA
Can someone recommend any spots open on campus good for late night studying?,0,NA,NA,NA
Who wants bbq sauce on their salad?,0,NA,NA,NA
If I could be surrounded by animals that'd be great :D,8,NA,NA,NA
I kinda want to try and see what's its like to Fuck a hot gilf,5,NA,NA,NA
"kind want the movie ""get out""experience, but first I need to find a white girlfriend.",2,NA,NA,NA
When your pubic hair on fleek.,4,NA,NA,NA
I love using girls with coke problems,2,NA,NA,NA
I CANNOT STAND CLINGY,3,NA,NA,NA
Bought a box of Kleenex this morning. Finished it two hours ago. Now I'm blowing my nose on graph paper. Part of it's from being sick and part of its from crying from the pain.,5,NA,NA,NA
"Is it illegal to require students who turn in their work the latest but still within the deadline to write more? I mean, just change the damn deadline instead of punishing people when they're on time",8,NA,NA,NA
how many of y'all gonna go to the war of icaza show tomorrow night?,11,NA,NA,NA
Praise be to God,0,NA,NA,NA
"Am I the only one who thinks the gorilla Instagram posts being a giant deal to the point of expelling them is kind of dumb? I mean who cares, they're just Instagram posts. This isn't an ""incident"".",10,NA,NA,NA
There was a puppy drowning in the lake so I had to save him he tried to bite me so I pulled him out by his tail and saved him. It happened the day before yesterday. Just thought I'd share.,9,NA,NA,NA
I can hardly cum from sex anymore. At first im super sensitive and have to go slow or else ill cum immediately. But after i break that barrier i basically cant cum and start to go soft even. Fml,11,NA,NA,NA
do you ever feel like every single person you care about cares about someone else more,13,NA,NA,NA
Eating Chinese food makes me feel like a fatass,1,NA,NA,NA
"Post anon, get upvotes. Post with handle, get downvotes. I see how it is guys.",3,NA,NA,NA
Who wants to smoke in berkeley tonight,8,NA,NA,NA
East bay traffic >>>>>,0,NA,NA,NA
sea slugs' penises break off after sex--then grow back,4,NA,NA,NA
Who wants to go to mayday parade at the Fillmore on April 8,11,NA,NA,NA
Russia hired 1000 people to create anti-Clinton fake news in key us states during elections according to the trump Russia hearings,3,NA,NA,NA
Best smoke spots around pleasant Hill/lafayette?,2,NA,NA,NA
Holy fuck it's Thursday already spring break is over,5,NA,NA,NA
All I do is eat and sleep and sleep and sleep.,22,NA,NA,NA
I'm the pussy tamer,6,NA,NA,NA
is it appropriate to ask a trans person about their bottom genitals?,11,NA,NA,NA
Lorina if you see this I just wanna say that I think you're hella cute,16,NA,NA,NA
"If you've not chosen to be an organ donor, you shouldn't be eligible to receive an organ transplant.",6,NA,NA,NA
I'm just now learning the club penguin was shut down. FUCK my day is ruined,7,NA,NA,NA
I am kwanzaa,1,NA,NA,NA
I am allah,1,NA,NA,NA
Arent you a little short for a Stormtrooper?,17,NA,NA,NA
Youll find Im full of surprises!,15,NA,NA,NA
"Can't get a photo to post  ANYWAYS I was trying to have nice afternoon fap so I was browsing through the categories on PornHub and came across ""Panda Style"" and I wanted to share it with you all.",7,NA,NA,NA
Wiggers are so cute,1,NA,NA,NA
Caption this,12,NA,NA,NA
Good evening from Texas.,11,NA,NA,NA
Topped for the first time this spring break,3,NA,NA,NA
Tbh I'm going to miss barren quiet berk,0,NA,NA,NA
What's a good place to start with for Joy Division?,3,NA,NA,NA
The 51b had a happy holidays thing up is there a holiday going on?,0,NA,NA,NA
YY won't let me post a provocative photo but I discovered the strangest thing you guys,31,NA,NA,NA
When u bump into a previous Lyft Driver out on the street:  sup,0,NA,NA,NA
3pm in a thursday...bar just opened. Time for a pint,1,NA,NA,NA
Mario kart or Super smash?,18,NA,NA,NA
What's up liberal land?,9,NA,NA,NA
Can anybody drive me to in n out,7,NA,NA,NA
Yessss,3,NA,NA,NA
Why aren't Indians considered black? I see a lot that super black,12,NA,NA,NA
Decision of the day: save gas or smash fast,6,NA,NA,NA
"Question guys..... I have a Valid Driver license with a clean record, and I want to get the Motorcycle license. What's the easiest way to do that  ??",12,NA,NA,NA
I keep checking my ass if it's getting perkier after EVERY work outs,16,NA,NA,NA
Planned Parenthood. Seriously can't even right now. Fuck the US government. I am a Californian.,11,NA,NA,NA
I wanna get a hair transplant not bc I'm balding but bc I hate my widows peak but I first need to prioritize my v line/ facial bone contouring surgery,40,NA,NA,NA
Are bose noise cancelling headphones any good? Got some as a gift,16,NA,NA,NA
C on both sides like Chanel,6,NA,NA,NA
I need to stop looking at camel toes,6,NA,NA,NA
Why are most construction and housekeeping workers Mexicans? I think it's better than food service and retail jobs tbh. They work on their own pace and by themselves without having to deal w customers,8,NA,NA,NA
Sometimes I consider throwing a fake wedding and going through the motions so my parents can experience it while there's still time for them,6,NA,NA,NA
Planned Parenthood defunded? Now all the liberals will breed like crazy,2,NA,NA,NA
Sometimes I forget when my period is supposed to come. I don't know if it's last week of month or beginning of the month. I'm having the symptoms now,5,NA,NA,NA
"I get so turned on by women in yoga pants that I can't go from Caltrain to the office without getting a hard on. Tough to walk and hide the tent. I need yogapants anonymous. And sex, really need sex.",21,NA,NA,NA
"When you study super hard for an exam, feel confident about it, and still fail. Gotta love school...",5,NA,NA,NA
When you're probably gonna get ghosted and you have no idea what the f you done,6,NA,NA,NA
"Well, japan town is way different than China town",4,NA,NA,NA
"I feel like most of the posts on here can be sorted into 3 categories: horny, racist, drugs",4,NA,NA,NA
"People really shouldn't let their dogs wander around without collars, people are gonna assume they're lost or strays",7,NA,NA,NA
I am obsessed with guys and dick.,17,NA,NA,NA
A vacation would be nice.,0,NA,NA,NA
-DARY,1,NA,NA,NA
A dude in Colorado died after trying to eat a giant donut during an eating contest. That's gotta rank high up on the Most Embarrassing Ways to Die list.,0,NA,NA,NA
I have very little self-control when it comes to sex and I've come to the conclusion that I'm incapable of being faithful at this stage of my life,4,NA,NA,NA
"I thought I wouldn't need her, but I was immature and confused.",5,NA,NA,NA
I'm LEGEN- (wait for it),6,NA,NA,NA
Why are all the streetlamps red on foothill between 40th and 41st,1,NA,NA,NA
Almost home :D,11,NA,NA,NA
It's been over a week since we've had sex and I'm getting really paranoid and horny.,2,NA,NA,NA
Why is it that there is ALWAYS some black dude rapping or playing loud rap music on public transportation?,2,NA,NA,NA
Microaggressions are easily one of the dumbest concepts I've ever heard of,8,NA,NA,NA
"I'm sick of failing exams at Cal. Even when I come out above average, 40-60% is soul-crushing.",11,NA,NA,NA
need myself a latina or arab lady. cultured,3,NA,NA,NA
"easiest way to make a fuck boy act like he's supposed to: don't text him, don't call him, don't snap him, and he'll come running like a puppy",6,NA,NA,NA
I'm thinking it's time to invest in a fleshlight. Any recommendations on the models?,6,NA,NA,NA
Oatmeal + yogurt + salad for dinner because homegirl wants to be skinny.,8,NA,NA,NA
Creepiest thing someone said on a first date?,11,NA,NA,NA
I ate too much nutella and now my tummy hurts,7,NA,NA,NA
Hate that I always have to be around this guy I like but I know he will never care for me like I do for him. I'm a sucker and I can't get him out of my head,2,NA,NA,NA
Do sororities ignore the fact that a huge majority of its members are white? I'm not saying that's a bad thing but apparently they have a council to bring in equity but are failing miserably.,11,NA,NA,NA
Dang profile views are unfrozen now and it jumped by 400 lmao,14,NA,NA,NA
"I really wanna rub one out right now, but there's a chance I'll get to stick my penis inside of a vagina in the next 4 hours.",6,NA,NA,NA
"I only like the intelligent yik yakers. (Adventurist, Tybtan, I knowstacymother,mintydevine, tacoflavoredkisses, jkhowling, jewishguy, austifrosti, Pui, kittylicious....who am I forgetting rn?)",41,NA,NA,NA
My room looks like a bar,2,NA,NA,NA
I just want casual sex tbh,2,NA,NA,NA
Ive realized that when i inevitably move out of state for a job i will never make new friends and subsequently get married...,9,NA,NA,NA
I'm visiting from Atlanta. How does one buy weed around here?,3,NA,NA,NA
The best form of revenge is being in a better place than the person you once really liked.,0,NA,NA,NA
Is anyone else in the mood for some asparagus?,3,NA,NA,NA
When you find out the professor is hung like a dildo,1,NA,NA,NA
Www.trumpunuviversity.com/CalRejects/Failure/ApplyCSUdavis,0,NA,NA,NA
Orders a Davis Lover at Little Caesars. Waiter dumps a pile of salt on my plate goes: One Salty Davis coming right up!,0,NA,NA,NA
When u get gangraped by a herd of cows up in Davis and u convince urself that whatever doesnt hurt you only makes you stronger,0,NA,NA,NA
Your face is super ugly,8,NA,NA,NA
My penis is my favorite part of my body 2nd is my face then abs chest tris legs forearms. I like girls with a bubble butt and some grapefruit sized titties. But most importantly a cute face!,10,NA,NA,NA
Do you think tybtab's wife knows that he's on yy a lot and tries to pick up chicks? What do you think she would do if she found out? I think she would confiscate his phone,16,NA,NA,NA
"G-d damnit I cannot get a decent haircut in this town, doesn't seem to matter how much I spend.",3,NA,NA,NA
"My boo said if his ex sees me, she would try to fuck me",4,NA,NA,NA
Best essay writing service?,5,NA,NA,NA
I think it's time to tell my dad i'm not religious anymore,4,NA,NA,NA
If my wife doesn't start fucking other men then I'm leaving that ho,5,NA,NA,NA
I forgot to get ice cream on the way home,16,NA,NA,NA
Ok. If a guy tries to have sex with you and can't get it up or keep it up... what would you guys think? He said he was nervous but I'm wondering if it was something I did..?,17,NA,NA,NA
Only in SF would someone set up their heroin injecting tools on the BART platform and proceed to find their vein in front of everyone,6,NA,NA,NA
I should stop making decisions when I'm horny.,7,NA,NA,NA
The new arcade is open until 2 am almost every day :O,12,NA,NA,NA
Some bikers are doing another free speech pro trump rally on the 15th in Berkeley,2,NA,NA,NA
I was wondering why all these yaks suck then I realized i was on local.,1,NA,NA,NA
My ex girl friend cheated on me last week so I texted her telling her the condom broke the day before and she went and bought a plan b...made that bitch waste $50,7,NA,NA,NA
Everyone on Yik Yak has a really ugly face. If you are reading this your face looks hideous ugly.,8,NA,NA,NA
See? Your day could be worse.,41,NA,NA,NA
Any girls here NOT into ass-play?,11,NA,NA,NA
"According to Yik Yak, big dicks are horrible. I guess TesticleBandit was right, micropenis is where it's at.",11,NA,NA,NA
Lmao I think I got block from the clit yak. Nice.,1,NA,NA,NA
Kind of want to shave my legs I'm a guy,8,NA,NA,NA
Fuck it I'm tired just going to go home,0,NA,NA,NA
"Forgot my wallet, but than I remember I have Apple Pay! My hunger thanks you!",1,NA,NA,NA
Emoji 101: A critical discourse on emoji use in modern society,1,NA,NA,NA
Don't be deceived. Nothing lasts forever.,8,NA,NA,NA
I just saw a sticker by artichokes that said fuck davis. Y'all wild lmao,2,NA,NA,NA
"Wow this app is really racist.

Just like reality.

",20,NA,NA,NA
There's a couple arguing on the glade. I don't think I'd be cool with fighting in public,12,NA,NA,NA
Rockeybye baby - joey bada$$ feat schoolboyQ. Yes!,1,NA,NA,NA
Reading your text and not responding is a given.,0,NA,NA,NA
I hate white,25,NA,NA,NA
A lotta dick size posts today. Mine is on the smaller side but it gets crazy hard.,14,NA,NA,NA
Must have boba detox,2,NA,NA,NA
"I don't know if my ceiling is THE best ceiling, but it's definitely up there.",3,NA,NA,NA
"My girlfriend told me she was leaving me because I keep pretending to be a Transformer. I said, ""No, wait! I can change.""",1,NA,NA,NA
I saw a homeless dude and gave him  a dollar.  I saw a homeless woman and gave her 77 cents.,5,NA,NA,NA
My boss told me to have a good day. So I went home.,2,NA,NA,NA
Did you know cats can jump higher than a house? This is largely due to the cats powerful hind legs and the fact houses cant jump.,2,NA,NA,NA
Wtf is happening,5,NA,NA,NA
Goddamnit I think I'm pregnant.,21,NA,NA,NA
"If a cute girls asks for a picture and then texts ""you're handsome "" what does that mean? From my understanding girls will fuck ""hot guys"" & ""cute guys"" but handsome is them not wanting to be mean ?",14,NA,NA,NA
Cute girl next to me in class right now. Hyper ventilating what do.,7,NA,NA,NA
Got a fucking DUI the morning after drinking. Felt totally sober. Life and career now fucked.,21,NA,NA,NA
I think I'm sunburnt,0,NA,NA,NA
I miss hotdogtax,1,NA,NA,NA
Girls make fun on other girls for having boobs and butts that are too big or too small. Girls make fun of guys for having a dick that is too small. Never heard of mockery for having a big dick.,11,NA,NA,NA
Samsung fanboys is one of the most retarded group of people in this world,2,NA,NA,NA
Why do hot dogs come in packs of 10 but buns in packs of 8 like wtf,16,NA,NA,NA
Anyone on here good at taking pictures or just wants to help me take pictures? I'll pay you in fast food,9,NA,NA,NA
Lana's video games always makes me melancholy,0,NA,NA,NA
Holy shitake mushrooms it passed the tests!,0,NA,NA,NA
I'm surprised the election people aren't as annoying I guess most of their campaigning is online now,1,NA,NA,NA
When you have to go home to poo,0,NA,NA,NA
Asian girl gold digger and white guy sighting at soma eats,53,NA,NA,NA
Totally rocking the homeless look today. Nobody talk to me please.,2,NA,NA,NA
Psa barrows elevator isn't working,0,NA,NA,NA
How do you know if your dick is too small for your girl?,42,NA,NA,NA
Some pop music makes me physically cringe,13,NA,NA,NA
I saw a homeless dude and gave him  a dollar.  I saw a homeless woman and gave her 77 cents.,5,NA,NA,NA
"My girlfriend told me she was leaving me because I keep pretending to be a Transformer. I said, ""No, wait! I can change.""",1,NA,NA,NA
"11am, hmmmm, maybe I should get out of bed now.",5,NA,NA,NA
My boss told me to have a good day. So I went home.,2,NA,NA,NA
A lotta dick size posts today. Mine is on the smaller side but it gets crazy hard.,14,NA,NA,NA
"I don't know if my ceiling is THE best ceiling, but it's definitely up there.",3,NA,NA,NA
See? Your day could be worse.,41,NA,NA,NA
Why do girls unfairly discriminate against shorter guys?,44,NA,NA,NA
If my wife doesn't start fucking other men then I'm leaving that ho,5,NA,NA,NA
Did you know cats can jump higher than a house? This is largely due to the cats powerful hind legs and the fact houses cant jump.,2,NA,NA,NA
Wish I was out in a boat in the middle of the ocean right now. I'm tired of being surrounded by people.,3,NA,NA,NA
Dying from lack of mimosas.,7,NA,NA,NA
Why do hot dogs come in packs of 10 but buns in packs of 8 like wtf,16,NA,NA,NA
When you have to go home to poo,0,NA,NA,NA
Goddamnit I think I'm pregnant.,21,NA,NA,NA
My ex girl friend cheated on me last week so I texted her telling her the condom broke the day before and she went and bought a plan b...made that bitch waste $50,7,NA,NA,NA
I miss my sister so much,12,NA,NA,NA
When you meet someone really hot but they are really boring,31,NA,NA,NA
What's a song about banging lots of women?,19,NA,NA,NA
The only 'B' word you should call a woman is 'Beautiful'.  Bitches love being called Beautiful. - IKSM,5,NA,NA,NA
"Just remember Fam, it's not Monday's that suck, it's your job that does.",10,NA,NA,NA
"I'm gonna be late as fuck, damn",8,NA,NA,NA
My desk is too warm turn down the heat sun,0,NA,NA,NA
Wine is great and all but I need my whiskey.,8,NA,NA,NA
Banging girls at work is a top search for themes in rap songs. I would have never have guessed,10,NA,NA,NA
Oatmeal + yogurt + salad for dinner because homegirl wants to be skinny.,8,NA,NA,NA
Holy shit,27,NA,NA,NA
"According to Yik Yak, big dicks are horrible. I guess TesticleBandit was right, micropenis is where it's at.",11,NA,NA,NA
Lana's video games always makes me melancholy,0,NA,NA,NA
I miss hotdogtax,1,NA,NA,NA
There's a couple arguing on the glade. I don't think I'd be cool with fighting in public,12,NA,NA,NA
I should stop making decisions when I'm horny.,7,NA,NA,NA
Do sororities ignore the fact that a huge majority of its members are white? I'm not saying that's a bad thing but apparently they have a council to bring in equity but are failing miserably.,11,NA,NA,NA
I think it's time to tell my dad i'm not religious anymore,4,NA,NA,NA
Must have boba detox,2,NA,NA,NA
Wtf is happening,5,NA,NA,NA
When you find out the professor is hung like a dildo,1,NA,NA,NA
Cavities are so scary,12,NA,NA,NA
White people be on that wake up at 2AM bullshit,2,NA,NA,NA
Ok. If a guy tries to have sex with you and can't get it up or keep it up... what would you guys think? He said he was nervous but I'm wondering if it was something I did..?,17,NA,NA,NA
"OMG what a freaking nightmare! Put your giant, hungry Python in a cage otherwise anybody could be its next meal! I hope I can get get back to sleep now that was fucking scary.",3,NA,NA,NA
Berkeleys one way streets are fucking retarded.,18,NA,NA,NA
Fuck it I'm tired just going to go home,0,NA,NA,NA
I ate too much nutella and now my tummy hurts,7,NA,NA,NA
I think I'm sunburnt,0,NA,NA,NA
"G-d damnit I cannot get a decent haircut in this town, doesn't seem to matter how much I spend.",3,NA,NA,NA
Holy shitake mushrooms it passed the tests!,0,NA,NA,NA
Dank Sing ammirite?,15,NA,NA,NA
Psa barrows elevator isn't working,0,NA,NA,NA
Got a fucking DUI the morning after drinking. Felt totally sober. Life and career now fucked.,21,NA,NA,NA
A dude in Colorado died after trying to eat a giant donut during an eating contest. That's gotta rank high up on the Most Embarrassing Ways to Die list.,0,NA,NA,NA
Totally rocking the homeless look today. Nobody talk to me please.,2,NA,NA,NA
I'm surprised the election people aren't as annoying I guess most of their campaigning is online now,1,NA,NA,NA
"Wow this app is really racist.

Just like reality.

",20,NA,NA,NA
LAAAAAAAANNNNAAAAAAAAAA,6,NA,NA,NA
"easiest way to make a fuck boy act like he's supposed to: don't text him, don't call him, don't snap him, and he'll come running like a puppy",6,NA,NA,NA
"I'm glad I'll never find happiness with another human being, such a waste of time.",9,NA,NA,NA
Don't be deceived. Nothing lasts forever.,8,NA,NA,NA
I would give my left nut for clear skin,5,NA,NA,NA
Some pop music makes me physically cringe,13,NA,NA,NA
How do you know if your dick is too small for your girl?,42,NA,NA,NA
Well that movie was a trip.,14,NA,NA,NA
Kind of want to shave my legs I'm a guy,8,NA,NA,NA
Is anyone else in the mood for some asparagus?,3,NA,NA,NA
Samsung fanboys is one of the most retarded group of people in this world,2,NA,NA,NA
The best form of revenge is being in a better place than the person you once really liked.,0,NA,NA,NA
Lmao I think I got block from the clit yak. Nice.,1,NA,NA,NA
What does it mean if a lady tinder match says she wants to watch a show with me?,9,NA,NA,NA
Why are all the streetlamps red on foothill between 40th and 41st,1,NA,NA,NA
Reading your text and not responding is a given.,0,NA,NA,NA
It's been over a week since we've had sex and I'm getting really paranoid and horny.,2,NA,NA,NA
The new arcade is open until 2 am almost every day :O,12,NA,NA,NA
A vacation would be nice.,0,NA,NA,NA
Dang profile views are unfrozen now and it jumped by 400 lmao,14,NA,NA,NA
"I'm sick of failing exams at Cal. Even when I come out above average, 40-60% is soul-crushing.",11,NA,NA,NA
I'm thinking it's time to invest in a fleshlight. Any recommendations on the models?,6,NA,NA,NA
I just saw a sticker by artichokes that said fuck davis. Y'all wild lmao,2,NA,NA,NA
Sesquicentinnial - 150 years,0,NA,NA,NA
-DARY,1,NA,NA,NA
Only in SF would someone set up their heroin injecting tools on the BART platform and proceed to find their vein in front of everyone,6,NA,NA,NA
Girls make fun on other girls for having boobs and butts that are too big or too small. Girls make fun of guys for having a dick that is too small. Never heard of mockery for having a big dick.,11,NA,NA,NA
Rockeybye baby - joey bada$$ feat schoolboyQ. Yes!,1,NA,NA,NA
Giants fan here,2,NA,NA,NA
Who wants to help me by administering a coffee enema? I need some assistance to get it done right,2,NA,NA,NA
"I thought I wouldn't need her, but I was immature and confused.",5,NA,NA,NA
Anyone on here good at taking pictures or just wants to help me take pictures? I'll pay you in fast food,9,NA,NA,NA
Ive realized that when i inevitably move out of state for a job i will never make new friends and subsequently get married...,9,NA,NA,NA
Emoji 101: A critical discourse on emoji use in modern society,1,NA,NA,NA
Www.trumpunuviversity.com/CalRejects/Failure/ApplyCSUdavis,0,NA,NA,NA
Does each byte in the header page correspond to (entries per page x page number) + entry number? I can't wrap my head around this,4,NA,NA,NA
You knoe you go to Davis when...,0,NA,NA,NA
I was wondering why all these yaks suck then I realized i was on local.,1,NA,NA,NA
I'm LEGEN- (wait for it),6,NA,NA,NA
When u get gangraped by a herd of cows up in Davis and u convince urself that whatever doesnt hurt you only makes you stronger,0,NA,NA,NA
My penis is my favorite part of my body 2nd is my face then abs chest tris legs forearms. I like girls with a bubble butt and some grapefruit sized titties. But most importantly a cute face!,10,NA,NA,NA
Do you think tybtab's wife knows that he's on yy a lot and tries to pick up chicks? What do you think she would do if she found out? I think she would confiscate his phone,16,NA,NA,NA
A gust of wind just showed my nostrils every inch of some homeless man's body... fuck me,5,NA,NA,NA
Women are such a waste of time as well as relationships.,7,NA,NA,NA
Hiking buddy?,1,NA,NA,NA
I hate white,25,NA,NA,NA
tfw u cum,0,NA,NA,NA
my feet look fucked up,0,NA,NA,NA
I'm a clumsy bitch,0,NA,NA,NA
I miss cheating on my ex...fug,0,NA,NA,NA
Tfw you offend somebody on tinder so they write an essay about how I'm a bad person,7,NA,NA,NA
When you spend months hanging out testing each other out only to realize that we should just start fucking and forget about the relationship part,1,NA,NA,NA
Weed is for LOSERS,4,NA,NA,NA
I dumped my girlfriend because she would not give me anal sex.,7,NA,NA,NA
Party at 1200westview drive,4,NA,NA,NA
Kittens over babies every time,10,NA,NA,NA
When is the Cal naked run???,11,NA,NA,NA
Can I call the cops on my neighbor who had a bad rapper over playing with amplified music,6,NA,NA,NA
